CustomerID,Cluster
C0001,1
C0002,5
C0003,1
C0004,7
C0005,5
C0006,7
C0007,5
C0008,3
C0009,2
C0010,2
C0011,7
C0012,7
C0013,7
C0014,4
C0015,8
C0016,8
C0017,0
C0018,6
C0019,2
C0020,8
C0021,0
C0022,5
C0023,9
C0024,3
C0025,1
C0026,8
C0027,5
C0028,0
C0029,3
C0030,3
C0031,1
C0032,1
C0033,4
C0034,3
C0035,6
C0036,3
C0037,9
C0038,3
C0039,6
C0040,5
C0041,9
C0042,8
C0043,5
C0044,9
C0045,0
C0046,6
C0047,3
C0048,6
C0049,6
C0050,8
C0051,9
C0052,1
C0053,9
C0054,0
C0055,6
C0056,5
C0057,9
C0058,8
C0059,0
C0060,4
C0061,2
C0062,2
C0063,2
C0064,9
C0065,0
C0066,9
C0067,3
C0068,3
C0069,2
C0070,2
C0071,1
C0072,3
C0073,2
C0074,9
C0075,0
C0076,1
C0077,1
C0078,8
C0079,8
C0080,5
C0081,2
C0082,7
C0083,1
C0084,0
C0085,1
C0086,2
C0087,7
C0088,5
C0089,9
C0090,5
C0091,7
C0092,5
C0093,0
C0094,3
C0095,1
C0096,7
C0097,4
C0098,6
C0099,7
C0100,9
C0101,0
C0102,7
C0103,2
C0104,7
C0105,9
C0106,5
C0107,1
C0108,7
C0109,3
C0110,5
C0111,6
C0112,1
C0113,7
C0114,9
C0115,5
C0116,6
C0117,6
C0118,1
C0119,2
C0120,1
C0121,4
C0122,3
C0123,5
C0124,9
C0125,8
C0126,7
C0127,2
C0128,5
C0129,1
C0130,1
C0131,8
C0132,2
C0133,1
C0134,5
C0135,2
C0136,0
C0137,1
C0138,0
C0139,3
C0140,5
C0141,0
C0142,5
C0143,0
C0144,3
C0145,0
C0146,5
C0147,1
C0148,7
C0149,9
C0150,1
C0151,4
C0152,1
C0153,7
C0154,6
C0155,7
C0156,0
C0157,3
C0158,7
C0159,5
C0160,3
C0161,5
C0162,0
C0163,7
C0164,2
C0165,7
C0166,2
C0167,2
C0168,7
C0169,7
C0170,9
C0171,7
C0172,2
C0173,0
C0174,1
C0175,0
C0176,3
C0177,5
C0178,5
C0179,2
C0180,5
C0181,1
C0182,9
C0183,6
C0184,1
C0185,8
C0186,5
C0187,7
C0188,7
C0189,3
C0190,1
C0191,1
C0192,1
C0193,5
C0194,3
C0195,1
C0196,9
C0197,2
C0198,2
C0199,2
C0200,5
